"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 20 11:02:44 GMT 2025","Mon Oct 20 11:02:44 GMT 2025","3","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/content/playlist/cover/TestPlaylistCoverServiceSuite","TestPlaylistCoverServiceSuite","TestPlaylistCoverServiceSuite","Test cases for TestPlaylistCoverServiceSuite"
"passed","Mon Oct 20 11:02:47 GMT 2025","Mon Oct 20 11:02:47 GMT 2025","0","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/stat/consumer/TestListeningEventConsumer_consumeListeningEvent","TestListeningEventConsumer_consumeListeningEvent","TestListeningEventConsumer_consumeListeningEvent","Test cases for TestListeningEventConsumer_consumeListeningEvent"
"passed","Mon Oct 20 11:02:42 GMT 2025","Mon Oct 20 11:02:42 GMT 2025","1","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/content/album/tracks/TestAlbumTracksServiceSuite","TestAlbumTracksServiceSuite","TestAlbumTracksServiceSuite","Test cases for TestAlbumTracksServiceSuite"
"passed","Mon Oct 20 11:02:43 GMT 2025","Mon Oct 20 11:02:43 GMT 2025","2","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/content/artist/avatar/TestArtistAvatarServiceSuite","TestArtistAvatarServiceSuite","TestArtistAvatarServiceSuite","Test cases for TestArtistAvatarServiceSuite"
"passed","Mon Oct 20 11:04:00 GMT 2025","Mon Oct 20 11:04:00 GMT 2025","56","","Integration","","github.com/hahaclassic/orpheon/backend/tests/integration/TestUserPlaylistFlow","TestUserPlaylistFlow","TestUserPlaylistFlow","Test cases for TestUserPlaylistFlow"
"passed","Mon Oct 20 11:02:47 GMT 2025","Mon Oct 20 11:02:47 GMT 2025","2","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/stat/processor/TestListeningStatServiceSuite","TestListeningStatServiceSuite","TestListeningStatServiceSuite","Test cases for TestListeningStatServiceSuite"
"passed","Mon Oct 20 11:02:41 GMT 2025","Mon Oct 20 11:02:42 GMT 2025","4","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/auth/TestAuthServiceSuite","TestAuthServiceSuite","TestAuthServiceSuite","Test cases for TestAuthServiceSuite"
"passed","Mon Oct 20 11:02:46 GMT 2025","Mon Oct 20 11:02:46 GMT 2025","2","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/content/track/audio/TestAudioFileServiceSuite","TestAudioFileServiceSuite","TestAudioFileServiceSuite","Test cases for TestAudioFileServiceSuite"
"passed","Mon Oct 20 11:04:00 GMT 2025","Mon Oct 20 11:04:00 GMT 2025","51","","Integration","","github.com/hahaclassic/orpheon/backend/tests/integration/TestPlaylistAccessFlow","TestPlaylistAccessFlow","TestPlaylistAccessFlow","Test cases for TestPlaylistAccessFlow"
"passed","Mon Oct 20 11:02:46 GMT 2025","Mon Oct 20 11:02:46 GMT 2025","2","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/content/playlist/privacy/TestPlaylistPrivacyChangerSuite","TestPlaylistPrivacyChangerSuite","TestPlaylistPrivacyChangerSuite","Test cases for TestPlaylistPrivacyChangerSuite"
"passed","Mon Oct 20 11:02:46 GMT 2025","Mon Oct 20 11:02:46 GMT 2025","3","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/content/playlist/tracks/TestPlaylistTrackServiceSuite","TestPlaylistTrackServiceSuite","TestPlaylistTrackServiceSuite","Test cases for TestPlaylistTrackServiceSuite"
"passed","Mon Oct 20 11:02:42 GMT 2025","Mon Oct 20 11:02:42 GMT 2025","3","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/content/album/meta/TestMetaServiceSuite","TestMetaServiceSuite","TestMetaServiceSuite","Test cases for TestMetaServiceSuite"
"passed","Mon Oct 20 11:02:44 GMT 2025","Mon Oct 20 11:02:44 GMT 2025","2","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/content/genre/meta/TestGenreServiceSuite","TestGenreServiceSuite","TestGenreServiceSuite","Test cases for TestGenreServiceSuite"
"passed","Mon Oct 20 11:02:44 GMT 2025","Mon Oct 20 11:02:44 GMT 2025","2","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/content/playlist/aggregator/TestPlaylistAggregatorSuite","TestPlaylistAggregatorSuite","TestPlaylistAggregatorSuite","Test cases for TestPlaylistAggregatorSuite"
"passed","Mon Oct 20 11:02:45 GMT 2025","Mon Oct 20 11:02:45 GMT 2025","3","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/content/playlist/policy/TestPlaylistPolicyServiceSuite","TestPlaylistPolicyServiceSuite","TestPlaylistPolicyServiceSuite","Test cases for TestPlaylistPolicyServiceSuite"
"passed","Mon Oct 20 11:02:43 GMT 2025","Mon Oct 20 11:02:43 GMT 2025","2","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/content/artist/meta/TestArtistMetaServiceSuite","TestArtistMetaServiceSuite","TestArtistMetaServiceSuite","Test cases for TestArtistMetaServiceSuite"
"passed","Mon Oct 20 11:02:42 GMT 2025","Mon Oct 20 11:02:42 GMT 2025","2","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/content/album/cover/TestCoverServiceSuite","TestCoverServiceSuite","TestCoverServiceSuite","Test cases for TestCoverServiceSuite"
"passed","Mon Oct 20 11:02:45 GMT 2025","Mon Oct 20 11:02:45 GMT 2025","4","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/content/playlist/favorites/TestPlaylistFavoriteServiceSuite","TestPlaylistFavoriteServiceSuite","TestPlaylistFavoriteServiceSuite","Test cases for TestPlaylistFavoriteServiceSuite"
"passed","Mon Oct 20 11:02:47 GMT 2025","Mon Oct 20 11:02:47 GMT 2025","2","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/content/track/meta/TestTrackMetaServiceSuite","TestTrackMetaServiceSuite","TestTrackMetaServiceSuite","Test cases for TestTrackMetaServiceSuite"
"passed","Mon Oct 20 11:02:47 GMT 2025","Mon Oct 20 11:02:47 GMT 2025","1","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/stat/publisher/TestListeningEventPublisher_PublishListeningEvent","TestListeningEventPublisher_PublishListeningEvent","TestListeningEventPublisher_PublishListeningEvent","Test cases for TestListeningEventPublisher_PublishListeningEvent"
"passed","Mon Oct 20 11:02:47 GMT 2025","Mon Oct 20 11:02:47 GMT 2025","1","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/stat/consumer/TestListeningEventConsumer_Start","TestListeningEventConsumer_Start","TestListeningEventConsumer_Start","Test cases for TestListeningEventConsumer_Start"
"passed","Mon Oct 20 11:02:46 GMT 2025","Mon Oct 20 11:02:46 GMT 2025","2","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/content/search/TestSearchServiceSuite","TestSearchServiceSuite","TestSearchServiceSuite","Test cases for TestSearchServiceSuite"
"passed","Mon Oct 20 11:02:45 GMT 2025","Mon Oct 20 11:02:45 GMT 2025","2","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/content/playlist/deleter/TestPlaylistDeleterSuite","TestPlaylistDeleterSuite","TestPlaylistDeleterSuite","Test cases for TestPlaylistDeleterSuite"
"passed","Mon Oct 20 11:04:00 GMT 2025","Mon Oct 20 11:04:00 GMT 2025","72","","Integration","","github.com/hahaclassic/orpheon/backend/tests/integration/TestTrackUploadFlow","TestTrackUploadFlow","TestTrackUploadFlow","Test cases for TestTrackUploadFlow"
"passed","Mon Oct 20 11:02:43 GMT 2025","Mon Oct 20 11:02:43 GMT 2025","2","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/content/genre/assign/TestGenreAssignServiceSuite","TestGenreAssignServiceSuite","TestGenreAssignServiceSuite","Test cases for TestGenreAssignServiceSuite"
"passed","Mon Oct 20 11:02:42 GMT 2025","Mon Oct 20 11:02:42 GMT 2025","3","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/content/artist/assign/TestArtistAssignServiceSuite","TestArtistAssignServiceSuite","TestArtistAssignServiceSuite","Test cases for TestArtistAssignServiceSuite"
"passed","Mon Oct 20 11:02:44 GMT 2025","Mon Oct 20 11:02:44 GMT 2025","5","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/content/license/TestLicenseServiceSuite","TestLicenseServiceSuite","TestLicenseServiceSuite","Test cases for TestLicenseServiceSuite"
"passed","Mon Oct 20 11:02:47 GMT 2025","Mon Oct 20 11:02:47 GMT 2025","1","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/content/track/segment/TestTrackSegmentServiceSuite","TestTrackSegmentServiceSuite","TestTrackSegmentServiceSuite","Test cases for TestTrackSegmentServiceSuite"
"passed","Mon Oct 20 11:02:45 GMT 2025","Mon Oct 20 11:02:45 GMT 2025","3","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/content/playlist/meta/TestPlaylistMetaServiceSuite","TestPlaylistMetaServiceSuite","TestPlaylistMetaServiceSuite","Test cases for TestPlaylistMetaServiceSuite"
"passed","Mon Oct 20 11:03:58 GMT 2025","Mon Oct 20 11:04:00 GMT 2025","2059","","Integration","","github.com/hahaclassic/orpheon/backend/tests/integration/TestAuthFlow","TestAuthFlow","TestAuthFlow","Test cases for TestAuthFlow"
"passed","Mon Oct 20 11:02:48 GMT 2025","Mon Oct 20 11:02:48 GMT 2025","2","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/user/TestUserServiceSuite","TestUserServiceSuite","TestUserServiceSuite","Test cases for TestUserServiceSuite"
