"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 18 02:16:53 GMT 2025","Sat Oct 18 02:16:53 GMT 2025","3","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/content/genre/meta/TestGenreServiceSuite","TestGenreServiceSuite","TestGenreServiceSuite","Test cases for TestGenreServiceSuite"
"passed","Sat Oct 18 02:16:55 GMT 2025","Sat Oct 18 02:16:55 GMT 2025","2","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/content/track/segment/TestTrackSegmentServiceSuite","TestTrackSegmentServiceSuite","TestTrackSegmentServiceSuite","Test cases for TestTrackSegmentServiceSuite"
"passed","Sat Oct 18 02:16:54 GMT 2025","Sat Oct 18 02:16:54 GMT 2025","4","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/content/search/TestSearchServiceSuite","TestSearchServiceSuite","TestSearchServiceSuite","Test cases for TestSearchServiceSuite"
"passed","Sat Oct 18 02:16:52 GMT 2025","Sat Oct 18 02:16:52 GMT 2025","3","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/content/artist/meta/TestArtistMetaServiceSuite","TestArtistMetaServiceSuite","TestArtistMetaServiceSuite","Test cases for TestArtistMetaServiceSuite"
"passed","Sat Oct 18 02:16:52 GMT 2025","Sat Oct 18 02:16:52 GMT 2025","2","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/content/artist/avatar/TestArtistAvatarServiceSuite","TestArtistAvatarServiceSuite","TestArtistAvatarServiceSuite","Test cases for TestArtistAvatarServiceSuite"
"passed","Sat Oct 18 02:16:54 GMT 2025","Sat Oct 18 02:16:54 GMT 2025","2","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/content/playlist/privacy/TestPlaylistPrivacyChangerSuite","TestPlaylistPrivacyChangerSuite","TestPlaylistPrivacyChangerSuite","Test cases for TestPlaylistPrivacyChangerSuite"
"failed","Sat Oct 18 02:16:47 GMT 2025","Sat Oct 18 02:16:47 GMT 2025","20","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/auth/TestAuthServiceSuite","TestAuthServiceSuite","TestAuthServiceSuite","Test cases for TestAuthServiceSuite"
"passed","Sat Oct 18 02:16:50 GMT 2025","Sat Oct 18 02:16:52 GMT 2025","1772","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/content/artist/assign/TestArtistAssignServiceSuite","TestArtistAssignServiceSuite","TestArtistAssignServiceSuite","Test cases for TestArtistAssignServiceSuite"
"passed","Sat Oct 18 02:16:49 GMT 2025","Sat Oct 18 02:16:49 GMT 2025","8","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/content/album/cover/TestCoverServiceSuite","TestCoverServiceSuite","TestCoverServiceSuite","Test cases for TestCoverServiceSuite"
"passed","Sat Oct 18 02:16:54 GMT 2025","Sat Oct 18 02:16:54 GMT 2025","2","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/content/track/audio/TestAudioFileServiceSuite","TestAudioFileServiceSuite","TestAudioFileServiceSuite","Test cases for TestAudioFileServiceSuite"
